"","prows_total","prows_n","prows_mean","prows_min","prows_max","prows_median","prows_range"
"06Z137","33","18","2.81111111111111","0","50.6","0","0_50.6"
"07H905","33","22","0","0","0","0","0_0"
"07X444","34","20","0","0","0","0","0_0"
"09X106","32","17","0","0","0","0","0_0"
"10Y0271","33","19","1.22631578947368","0","23.3","0","0_23.3"
"11V225","33","20","2.725","0","54.5","0","0_54.5"
"G13N001","232","220","40.0209090909091","1.1","81.4","41.6","1.1_81.4"
"G13N002","220","219","41.4369863013699","12.2","85.8","40.6","12.2_85.8"
"G13N003","210","208","43.9841346153846","3.7","73.1","45.6","3.7_73.1"
"G13N004","220","220","41.5022727272727","20.6","71.3","41.45","20.6_71.3"
"G13N005","220","220","42.9686363636364","16.1","71.3","43.35","16.1_71.3"
"G13N006","220","204","41.7906862745098","9.4","81.4","41.45","9.4_81.4"
"G13N007","220","220","35.1336363636364","12.7","60.3","35.35","12.7_60.3"
"G13N008","220","220","38.985","21.9","79.2","38.1","21.9_79.2"
"G13N009","189","172","60.1854651162791","15.1","112.3","59.35","15.1_112.3"
"G13N010","220","220","39.8677272727273","19.2","69.5","39.85","19.2_69.5"
"G13N011","143","143","39.2244755244755","3.4","63.8","40.4","3.4_63.8"
"G13N012","220","198","47.5267676767677","0","95","48.1","0_95"
"G13N013","220","220","54.2995454545455","27.1","83.2","54.05","27.1_83.2"
"G13N014","220","220","48.265","25.1","74","48","25.1_74"
"G13N015","220","220","0","0","0","0","0_0"
"G13N016","220","208","47.9706730769231","10","93","48.85","10_93"
"G13N017","220","220","43.7227272727273","5.7","78.6","45.3","5.7_78.6"
"G13N018","220","220","49.8495454545455","22.7","90","50.05","22.7_90"
"G13N019","220","220","40.3477272727273","11.1","80.3","40.6","11.1_80.3"
"G13N020","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N021","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N022","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N023","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N024","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N025","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N026","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N027","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N028","220","0","NaN","Inf","-Inf",NA,"Inf_-Inf"
"G13N029","220","214","42.4257009345794","0","71.7","42.75","0_71.7"
"G13N030","220","220","44.8745454545455","5.5","85.7","45.15","5.5_85.7"
"G13N031","220","220","51.4522727272727","22.1","100.1","49.55","22.1_100.1"
"G13N032","220","220","46.7445454545455","15.9","84","47.55","15.9_84"
"G13N033","220","220","53.7395454545455","25.9","91.3","53.55","25.9_91.3"
"G13N034","220","220","46.8772727272727","18.8","78.3","46.55","18.8_78.3"
"G13N035","220","220","58.1513636363636","23.9","92.6","57.65","23.9_92.6"
"G13N036","220","220","47.6404545454545","0","77.4","48.7","0_77.4"
"G13N037","220","220","38.7631818181818","18.5","65.9","39.7","18.5_65.9"
"G13N038","220","220","42.4413636363636","16.2","69","43.35","16.2_69"
